09-01-2026 14:59:21 RAM 4207/7620MB (lfb 1x4MB) SWAP 47/3810MB (cached 0MB) CPU [9%@1344,0%@1344,0%@1344,100%@1344,70%@1344,5%@1344] GR3D_FREQ 15% cpu@49.718C soc2@48.5C soc0@49.125C gpu@49.875C tj@49.875C soc1@49.218C VDD_IN 6209mW/5645mW VDD_CPU_GPU_CV 1303mW/1110mW VDD_SOC 1779mW/1623mW
09-01-2026 14:59:21 RAM 4193/7620MB (lfb 1x4MB) SWAP 67/3810MB (cached 0MB) CPU [5%@1344,0%@1344,0%@1344,100%@1344,75%@1113,4%@1113] GR3D_FREQ 16% cpu@49.906C soc2@48.531C soc0@49.093C gpu@50.125C tj@50.125C soc1@49.312C VDD_IN 6249mW/5658mW VDD_CPU_GPU_CV 1342mW/1115mW VDD_SOC 1779mW/1627mW
09-01-2026 14:59:21 RAM 4175/7620MB (lfb 1x4MB) SWAP 93/3810MB (cached 0MB) CPU [5%@729,0%@729,0%@729,66%@729,70%@1113,10%@1113] GR3D_FREQ 15% cpu@49.281C soc2@48.5C soc0@49.281C gpu@50.062C tj@50.062C soc1@49.062C VDD_IN 6209mW/5670mW VDD_CPU_GPU_CV 1342mW/1120mW VDD_SOC 1779mW/1630mW
09-01-2026 14:59:21 RAM 4177/7620MB (lfb 1x4MB) SWAP 121/3810MB (cached 0MB) CPU [9%@1344,0%@1344,0%@1344,70%@1344,80%@1344,13%@1344] GR3D_FREQ 0% cpu@49.593C soc2@48.531C soc0@49.218C gpu@49.906C tj@49.906C soc1@49.156C VDD_IN 6170mW/5680mW VDD_CPU_GPU_CV 1303mW/1123mW VDD_SOC 1740mW/1632mW
09-01-2026 14:59:22 RAM 4211/7620MB (lfb 1x4MB) SWAP 155/3810MB (cached 0MB) CPU [0%@1344,9%@1344,9%@1344,95%@1344,95%@1344,0%@1344] GR3D_FREQ 14% cpu@49.593C soc2@48.562C soc0@49.093C gpu@49.906C tj@49.906C soc1@49.125C VDD_IN 6209mW/5691mW VDD_CPU_GPU_CV 1382mW/1129mW VDD_SOC 1740mW/1635mW
09-01-2026 14:59:22 RAM 4212/7620MB (lfb 1x4MB) SWAP 201/3810MB (cached 0MB) CPU [0%@1344,0%@1344,9%@1344,100%@1344,95%@1344,0%@1344] GR3D_FREQ 0% cpu@49.812C soc2@48.562C soc0@49.156C gpu@50C tj@50C soc1@49.218C VDD_IN 6209mW/5702mW VDD_CPU_GPU_CV 1421mW/1134mW VDD_SOC 1700mW/1636mW
09-01-2026 14:59:22 RAM 4235/7620MB (lfb 3x4MB) SWAP 231/3810MB (cached 0MB) CPU [4%@1344,0%@1344,0%@1344,100%@1344,90%@1344,0%@1344] GR3D_FREQ 3% cpu@49.718C soc2@48.562C soc0@49.156C gpu@49.843C tj@49.843C soc1@49.093C VDD_IN 6209mW/5711mW VDD_CPU_GPU_CV 1421mW/1140mW VDD_SOC 1700mW/1637mW
09-01-2026 14:59:22 RAM 4288/7620MB (lfb 3x4MB) SWAP 248/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,78%@1344,90%@1344,0%@1344] GR3D_FREQ 19% cpu@49.843C soc2@48.593C soc0@49.093C gpu@50.187C tj@50.187C soc1@49.062C VDD_IN 6209mW/5721mW VDD_CPU_GPU_CV 1421mW/1145mW VDD_SOC 1700mW/1638mW
09-01-2026 14:59:22 RAM 4310/7620MB (lfb 3x4MB) SWAP 264/3810MB (cached 0MB) CPU [13%@1344,4%@1344,9%@1344,95%@1344,90%@1344,5%@1344] GR3D_FREQ 12% cpu@49.625C soc2@48.531C soc0@49.187C gpu@50C tj@50C soc1@49.062C VDD_IN 6209mW/5730mW VDD_CPU_GPU_CV 1421mW/1151mW VDD_SOC 1700mW/1639mW
09-01-2026 14:59:23 RAM 4324/7620MB (lfb 3x4MB) SWAP 264/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,9%@729,100%@1344,0%@1344] GR3D_FREQ 0% cpu@49.406C soc2@48.562C soc0@49.375C gpu@50.062C tj@50.062C soc1@49.125C VDD_IN 5942mW/5734mW VDD_CPU_GPU_CV 1265mW/1153mW VDD_SOC 1661mW/1640mW
