09-01-2026 15:00:33 RAM 4826/7620MB (lfb 7x1MB) SWAP 346/3810MB (cached 0MB) CPU [4%@1344,0%@1344,0%@1344,0%@1344,95%@1344,0%@1344] GR3D_FREQ 56% cpu@49.531C soc2@48.562C soc0@49.312C gpu@50.093C tj@50.093C soc1@49.125C VDD_IN 6565mW/5677mW VDD_CPU_GPU_CV 1500mW/1098mW VDD_SOC 1779mW/1637mW
09-01-2026 15:00:33 RAM 4826/7620MB (lfb 7x1MB) SWAP 346/3810MB (cached 0MB) CPU [4%@729,0%@729,0%@729,0%@729,90%@1344,0%@1344] GR3D_FREQ 53% cpu@49.531C soc2@48.562C soc0@49.218C gpu@50.343C tj@50.343C soc1@49.25C VDD_IN 6802mW/5697mW VDD_CPU_GPU_CV 1540mW/1106mW VDD_SOC 1855mW/1641mW
09-01-2026 15:00:33 RAM 4832/7620MB (lfb 3x2MB) SWAP 346/3810MB (cached 0MB) CPU [40%@1190,4%@1190,4%@1190,4%@1344,90%@1344,0%@1344] GR3D_FREQ 54% cpu@49.812C soc2@48.687C soc0@49.156C gpu@50.25C tj@50.25C soc1@49.25C VDD_IN 7028mW/5719mW VDD_CPU_GPU_CV 1655mW/1115mW VDD_SOC 1895mW/1645mW
09-01-2026 15:00:34 RAM 4844/7620MB (lfb 1x2MB) SWAP 346/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@1344,0%@1344,90%@1344,4%@1344] GR3D_FREQ 56% cpu@49.718C soc2@48.562C soc0@49.25C gpu@50.218C tj@50.218C soc1@49.156C VDD_IN 6949mW/5740mW VDD_CPU_GPU_CV 1579mW/1123mW VDD_SOC 1895mW/1649mW
09-01-2026 15:00:34 RAM 4844/7620MB (lfb 1x2MB) SWAP 346/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@1344,0%@1344,86%@1344,0%@1344] GR3D_FREQ 76% cpu@49.562C soc2@48.625C soc0@49.343C gpu@50.125C tj@50.125C soc1@49.125C VDD_IN 7028mW/5761mW VDD_CPU_GPU_CV 1616mW/1131mW VDD_SOC 1895mW/1653mW
09-01-2026 15:00:34 RAM 4868/7620MB (lfb 8x1MB) SWAP 346/3810MB (cached 0MB) CPU [0%@729,0%@729,5%@729,0%@729,95%@1344,0%@1344] GR3D_FREQ 60% cpu@49.593C soc2@48.625C soc0@49.343C gpu@50.187C tj@50.187C soc1@49.187C VDD_IN 6684mW/5776mW VDD_CPU_GPU_CV 1461mW/1136mW VDD_SOC 1855mW/1657mW
09-01-2026 15:00:34 RAM 4868/7620MB (lfb 8x1MB) SWAP 346/3810MB (cached 0MB) CPU [0%@729,0%@1344,0%@1344,0%@1344,90%@1344,0%@1344] GR3D_FREQ 80% cpu@49.5C soc2@48.656C soc0@49.218C gpu@50.156C tj@50.156C soc1@49.281C VDD_IN 6842mW/5793mW VDD_CPU_GPU_CV 1500mW/1142mW VDD_SOC 1895mW/1660mW
09-01-2026 15:00:34 RAM 4868/7620MB (lfb 8x1MB) SWAP 346/3810MB (cached 0MB) CPU [0%@729,0%@729,4%@729,0%@729,94%@1344,0%@1344] GR3D_FREQ 62% cpu@49.718C soc2@48.656C soc0@49.25C gpu@50.406C tj@50.406C soc1@49.125C VDD_IN 6644mW/5806mW VDD_CPU_GPU_CV 1461mW/1147mW VDD_SOC 1858mW/1664mW
09-01-2026 15:00:35 RAM 4868/7620MB (lfb 8x1MB) SWAP 346/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@1344,0%@1344,90%@1344,0%@1344] GR3D_FREQ 54% cpu@49.687C soc2@48.562C soc0@49.312C gpu@50.593C tj@50.593C soc1@49.093C VDD_IN 6842mW/5822mW VDD_CPU_GPU_CV 1540mW/1153mW VDD_SOC 1895mW/1667mW
09-01-2026 15:00:35 RAM 4868/7620MB (lfb 8x1MB) SWAP 346/3810MB (cached 0MB) CPU [0%@729,0%@1344,0%@1344,0%@1344,94%@1344,0%@1344] GR3D_FREQ 74% cpu@49.562C soc2@48.656C soc0@49.375C gpu@50.343C tj@50.343C soc1@49.156C VDD_IN 6949mW/5839mW VDD_CPU_GPU_CV 1576mW/1159mW VDD_SOC 1895mW/1671mW
