NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,10368,10368.0,10368.0,10368,10368,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xe944abd3db8709490013ec56e805a4c9
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,10304,10304.0,10304.0,10304,10304,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd65f433ff7b34abefa6995ce894b46a3
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,9312,9312.0,9312.0,9312,9312,0.0,__myl_MulMinMaxRouCas_0x36a6981344c30226a5bbeed5f55c92f7
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,9312,9312.0,9312.0,9312,9312,0.0,__myl_MulMinMaxRouCas_0x6a10bd9f6c374e5ad061c0d2824b0a25
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,9184,9184.0,9184.0,9184,9184,0.0,__myl_MulMinMaxRouCas_0x1fb837ee240f07d62ca7b72c8a105b6f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,9024,9024.0,9024.0,9024,9024,0.0,__myl_MulMinMaxRouCas_0xa01c797cf706031bf4679ec54cf7b88d
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8864,8864.0,8864.0,8864,8864,0.0,__myl_MulMinMaxRouCas_0x46757e257e41ef1fb92716579e35a0d1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8832,8832.0,8832.0,8832,8832,0.0,__myl_MulMinMaxRouCas_0x56e74360c3e8a36d72970af72bdd3e2b
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8832,8832.0,8832.0,8832,8832,0.0,__myl_MulMinMaxRouCas_0x77ca5ed9b2797810688767dcda08897e
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667655,667655,1,1,8800,8800.0,8800.0,8800,8800,0.0,__myl_MulMinMaxRouCas_0x2bde768f3e1a80e37132bb2f4be64789
