NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8736,8736.0,8736.0,8736,8736,0.0,__myl_MulMinMaxRouCas_0x36a6981344c30226a5bbeed5f55c92f7
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8704,8704.0,8704.0,8704,8704,0.0,__myl_MulMinMaxRouCas_0x7c03f425cd0cc19febc97cb69c1f2cdb
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8672,8672.0,8672.0,8672,8672,0.0,__myl_MulMinMaxRouCas_0x998f9d85786c1705f75b803510b59e30
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8640,8640.0,8640.0,8640,8640,0.0,__myl_MulMinMaxRouCas_0x5d22e06f0128b92bf02f50e9b05f0125
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8640,8640.0,8640.0,8640,8640,0.0,__myl_MulMinMaxRouCas_0x77ca5ed9b2797810688767dcda08897e
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8640,8640.0,8640.0,8640,8640,0.0,__myl_MulMinMaxRouCas_0x907030f04aaedcd668915c250cbde546
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8640,8640.0,8640.0,8640,8640,0.0,__myl_MulMinMaxRouCas_0xca1e8a983af10962a50c67e0fecf3bd1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8608,8608.0,8608.0,8608,8608,0.0,__myl_MulMinMaxRouCas_0x472744a06bd7fd057961674c77025970
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8576,8576.0,8576.0,8576,8576,0.0,__myl_MulMinMaxRouCas_0xa01c797cf706031bf4679ec54cf7b88d
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8000,8000.0,8000.0,8000,8000,0.0,__myl_MulMinMaxRouCas_0x0b3337a1cc9120f6d73fd89c494a9e53
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8000,8000.0,8000.0,8000,8000,0.0,__myl_MulMinMaxRouCas_0x1fb837ee240f07d62ca7b72c8a105b6f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,8000,8000.0,8000.0,8000,8000,0.0,__myl_MulMinMaxRouCas_0xa64eacd40f6a244c6f97851e4148bfa0
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,7968,7968.0,7968.0,7968,7968,0.0,__myl_MulMinMaxRouCas_0x46757e257e41ef1fb92716579e35a0d1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,7936,7936.0,7936.0,7936,7936,0.0,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,7936,7936.0,7936.0,7936,7936,0.0,__myl_MulMinMaxRouCas_0x59f8206e6baa651ad7dab50737cc8951
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,7872,7872.0,7872.0,7872,7872,0.0,__myl_MulMinMaxRouCas_0x9ee6ac5b9454da6749214d07f11973df
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,2,7776,3888.0,3888.0,3488,4288,565.7,__myl_MulMinMaxRouCas_0x774908550917e749f75db6185bcae83f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,7456,7456.0,7456.0,7456,7456,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xeadba79c8105dff3fdb08ce085e7b12c
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,6528,6528.0,6528.0,6528,6528,0.0,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,6272,6272.0,6272.0,6272,6272,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x84ef5602e3183b8229f8022d6e6eb74f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,6176,6176.0,6176.0,6176,6176,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xbc9bffbf2b5683589f7ee804485f8f6c
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,5984,5984.0,5984.0,5984,5984,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x8b0f22c4a2121702a93d8623b5a12ae4
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,5760,5760.0,5760.0,5760,5760,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa03da8bd0547b3997e4af5d64a9f7047
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,5568,5568.0,5568.0,5568,5568,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa203a21bb9a2ead322f314c5ed6c45fd
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,4896,4896.0,4896.0,4896,4896,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x5bd2afd5a5411fb85888be6c8200be17
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,4864,4864.0,4864.0,4864,4864,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x028e232ad04f9dc415033ab5492ba131
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,4832,4832.0,4832.0,4832,4832,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2b4860727aa16b8274c6a9e412ad0345
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,4768,4768.0,4768.0,4768,4768,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb2a73dcdcb246645ed7bcf4e6ce7b3cc
