PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
649196,649196,0,4,4,1065984.0,1222688.0,554112,1264448,341857.3,16640.0,16640.0,15232,18048,1150.8,1035984.0,1192144.0,525120,1234528,341194.5,13360.0,13232.0,13216,13760,267.1,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa03da8bd0547b3997e4af5d64a9f7047
649196,649196,0,8,8,1050000.0,991568.0,447264,1546816,418948.8,14832.0,14400.0,12320,19552,2445.2,1022284.0,962880.0,417280,1521088,420149.8,12884.0,12912.0,12256,13568,414.0,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xc17a9e1c8880e75049e64b4f3bf21f16
649196,649196,0,4,4,999480.0,1148432.0,522848,1178208,318146.6,15440.0,14912.0,14720,17216,1187.5,970536.0,1120240.0,494528,1147136,317672.8,13504.0,13408.0,13344,13856,236.6,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xeadba79c8105dff3fdb08ce085e7b12c
649196,649196,0,78,78,950673.6,776464.0,360256,2595040,640072.4,15402.7,14928.0,11968,22400,2269.8,918309.7,743616.0,325568,2564352,641277.2,16961.2,16864.0,16480,17984,386.7,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas_0x14bacf080290e339db28d1223365390a_com_vec
649196,649196,0,93,93,935348.0,699584.0,185312,2868512,664231.0,21874.6,22560.0,15968,30464,3218.0,674348.7,432960.0,3296,2616640,663580.1,239124.6,240928.0,162464,265728,25173.1,cuLaunchKernelEx,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
649196,649196,0,3,3,916928.0,183104.0,181600,2386080,1272323.2,19178.7,20160.0,16928,20448,1954.4,883050.7,148672.0,146240,2354240,1274087.9,14698.7,14912.0,14272,14912,369.5,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMul_0xecca72c958a3414a0b497095c432af2e_com_vec
649196,649196,0,426,425,911479.2,742112.0,101696,2551808,706811.6,22493.7,21248.0,15008,40992,5210.7,780102.2,615872.0,3040,2447776,701168.6,110724.7,91440.0,53952,147648,28288.5,cuLaunchKernelEx,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
649196,649196,0,4,4,897096.0,1026768.0,494240,1040608,268651.7,14232.0,14048.0,13632,15200,674.5,874488.0,1003904.0,472256,1017888,268236.4,8376.0,8384.0,7936,8800,424.0,cuLaunchKernel,__myl_MulMinMaxRouCas_0x56e74360c3e8a36d72970af72bdd3e2b
649196,649196,0,81,81,867441.8,646016.0,279328,2546016,645689.7,17097.5,16192.0,11168,45600,5636.0,834923.1,614272.0,228384,2518272,647378.2,15421.2,15040.0,13280,36352,2497.5,cuLaunchKernel,__myl_ResTraResSliRepRes_0xb5ca1ead775f2215fdc6b72339368a3f_com
649196,649196,0,3,3,834336.0,114272.0,102720,2286016,1257205.0,16224.0,15936.0,15904,16832,526.8,791456.0,71360.0,60704,2242304,1256482.5,26656.0,26880.0,26080,27008,502.9,cuLaunchKernel,_gemm_mha_v2_0x868207ee750ff7049028a80d32d17323
649196,649196,0,3,3,818005.3,104000.0,101408,2248608,1238938.9,19210.7,17760.0,17184,22688,3025.2,785888.0,74368.0,66752,2216544,1238990.3,12906.7,11968.0,11872,14880,1709.6,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x0f631e6ab9f0eda3ff940fe21a35a79e_com_vec
649196,649196,0,3,3,798656.0,114656.0,102720,2178592,1195074.5,16085.3,16032.0,15744,16480,370.9,755978.7,72480.0,60032,2135424,1194650.9,26592.0,26432.0,26208,27136,484.2,cuLaunchKernel,_gemm_mha_v2_0x122d493ce64aa00c197ae40baf03a637
649196,649196,0,8,8,796628.0,866960.0,456128,956128,195499.6,13220.0,12816.0,10432,17728,2652.2,774728.0,843312.0,437376,936384,196041.1,8680.0,8736.0,8320,8928,187.2,cuLaunchKernel,__myl_MulMinMaxRouCas_0x774908550917e749f75db6185bcae83f
649196,649196,0,3,3,783872.0,104896.0,104160,2142560,1176658.4,20032.0,17632.0,17280,25184,4465.2,749920.0,74304.0,66080,2109376,1177330.6,13920.0,12960.0,12896,15904,1718.5,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb8020f747bc473120c074e71691b4a60_com_vec
649196,649196,0,4,4,778616.0,892992.0,412672,915808,244297.8,16024.0,16240.0,14272,17344,1286.7,747520.0,862480.0,381920,883200,244052.8,15072.0,15168.0,14688,15264,261.3,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x8b0f22c4a2121702a93d8623b5a12ae4
