NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:A1_decode_step_0,PushPop,649196,649196,1,1,7968,7968.0,7968.0,7968,7968,0.0,__myl_MulMinMaxRouCas_0xa64eacd40f6a244c6f97851e4148bfa0
:A1_decode_step_0,PushPop,649196,649196,1,1,7936,7936.0,7936.0,7936,7936,0.0,__myl_MulMinMaxRouCas_0x56e74360c3e8a36d72970af72bdd3e2b
:A1_decode_step_0,PushPop,649196,649196,1,1,7936,7936.0,7936.0,7936,7936,0.0,__myl_MulMinMaxRouCas_0x59f8206e6baa651ad7dab50737cc8951
:A1_decode_step_0,PushPop,649196,649196,1,1,7936,7936.0,7936.0,7936,7936,0.0,__myl_MulMinMaxRouCas_0xa49a3c4e66279a6886312b656336d70d
:A1_decode_step_0,PushPop,649196,649196,1,1,7936,7936.0,7936.0,7936,7936,0.0,__myl_MulMinMaxRouCas_0xf131f88ee6d7693232e76c9290134799
:A1_decode_step_1,PushPop,649196,649196,1,1,10114400,10114400.0,10114400.0,10114400,10114400,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:A1_decode_step_1,PushPop,649196,649196,1,106,9064832,85517.3,85536.0,52928,95904,6770.9,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
:A1_decode_step_1,PushPop,649196,649196,1,28,6478112,231361.1,230864.0,229024,235072,1570.3,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused
:A1_decode_step_1,PushPop,649196,649196,1,26,6358048,244540.3,242464.0,236064,304416,12444.9,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:A1_decode_step_1,PushPop,649196,649196,1,27,3811072,141150.8,141056.0,139200,144000,1075.6,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
:A1_decode_step_1,PushPop,649196,649196,1,28,1413472,50481.1,50464.0,49952,51072,262.4,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:A1_decode_step_1,PushPop,649196,649196,1,28,921280,32902.9,33216.0,30848,33728,859.6,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:A1_decode_step_1,PushPop,649196,649196,1,27,864448,32016.6,31872.0,31136,34016,567.1,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
:A1_decode_step_1,PushPop,649196,649196,1,4,821216,205304.0,194720.0,172576,259200,37416.3,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:A1_decode_step_1,PushPop,649196,649196,1,27,796032,29482.7,29376.0,27680,31776,1048.8,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
:A1_decode_step_1,PushPop,649196,649196,1,3,726624,242208.0,240960.0,238720,246944,4251.7,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:A1_decode_step_1,PushPop,649196,649196,1,26,467744,17990.2,17888.0,17792,18432,211.1,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
:A1_decode_step_1,PushPop,649196,649196,1,28,458464,16373.7,16336.0,15872,17248,272.9,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
:A1_decode_step_1,PushPop,649196,649196,1,27,338688,12544.0,12640.0,11168,14272,623.1,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
:A1_decode_step_1,PushPop,649196,649196,1,27,321568,11909.9,12192.0,10144,12672,617.9,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
:A1_decode_step_1,PushPop,649196,649196,1,27,302272,11195.3,11392.0,9760,12256,748.2,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
