NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:A1_decode_step_3,PushPop,648714,648714,1,28,6319040,225680.0,228736.0,142240,230496,16370.2,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
:A1_decode_step_3,PushPop,648714,648714,1,28,1408544,50305.1,50128.0,49216,51264,551.2,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:A1_decode_step_3,PushPop,648714,648714,1,27,970560,35946.7,36032.0,35136,37120,409.2,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
:A1_decode_step_3,PushPop,648714,648714,1,28,868032,31001.1,30816.0,30624,33280,522.7,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:A1_decode_step_3,PushPop,648714,648714,1,28,858496,30660.6,30560.0,29952,31904,458.9,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
:A1_decode_step_3,PushPop,648714,648714,1,28,449152,16041.1,15936.0,15712,17216,369.9,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
:A1_decode_step_3,PushPop,648714,648714,1,27,372864,13809.8,13728.0,13600,14848,303.6,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
:A1_decode_step_3,PushPop,648714,648714,1,28,351712,12561.1,12496.0,12384,13376,213.4,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:A1_decode_step_3,PushPop,648714,648714,1,28,336576,12020.6,12016.0,11744,12512,189.3,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:A1_decode_step_3,PushPop,648714,648714,1,1,301376,301376.0,301376.0,301376,301376,0.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:A1_decode_step_3,PushPop,648714,648714,1,28,283616,10129.1,9952.0,9792,10752,342.8,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:A1_decode_step_3,PushPop,648714,648714,1,27,252608,9355.9,9344.0,9248,9632,81.9,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:A1_decode_step_3,PushPop,648714,648714,1,1,158144,158144.0,158144.0,158144,158144,0.0,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
:A1_decode_step_3,PushPop,648714,648714,1,1,42432,42432.0,42432.0,42432,42432,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
:A1_decode_step_3,PushPop,648714,648714,1,1,22368,22368.0,22368.0,22368,22368,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
:A1_decode_step_3,PushPop,648714,648714,1,1,21472,21472.0,21472.0,21472,21472,0.0,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
:A1_decode_step_3,PushPop,648714,648714,1,1,19168,19168.0,19168.0,19168,19168,0.0,__myl_MovMulMeaAddSqrDivMulMul_0x2a5532526e8c57d9427ed6b89bda5183
:A1_prefill_S8,PushPop,648714,648714,1,84,21672736,258008.8,236976.0,234688,303872,30788.6,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
:A1_prefill_S8,PushPop,648714,648714,1,56,11495808,205282.3,204624.0,162336,259072,37633.4,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
:A1_prefill_S8,PushPop,648714,648714,1,1,10111584,10111584.0,10111584.0,10111584,10111584,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:A1_prefill_S8,PushPop,648714,648714,1,28,618848,22101.7,22192.0,21376,22976,558.2,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
:A1_prefill_S8,PushPop,648714,648714,1,27,494688,18321.8,18624.0,17472,19008,481.7,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes_0x4ad536b524b3f7a2415d97f02da12733_com
:A1_prefill_S8,PushPop,648714,648714,1,28,428576,15306.3,15136.0,14816,16256,436.3,__myl_NegExpAddDivMulMul_0x35e9fa130a3939e5b59c6ddbd0568b35_com_vec
:A1_prefill_S8,PushPop,648714,648714,1,28,421344,15048.0,15040.0,14720,15744,210.8,__myl_ResTraResSliRepRes_0xc9f73409107decab95699693f5f53538_com
:A1_prefill_S8,PushPop,648714,648714,1,28,399456,14266.3,14144.0,13664,15360,508.9,__myl_MulMeaAddSqrDivMulMul_0xecca72c958a3414a0b497095c432af2e_com_vec
:A1_prefill_S8,PushPop,648714,648714,1,27,394400,14607.4,14784.0,13888,15296,365.1,__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes_0x6acc4948abd0f5b32a0e9f68913929b0_com
:A1_prefill_S8,PushPop,648714,648714,1,27,383008,14185.5,14016.0,13728,14912,429.8,__myl_MulMeaAddSqrDivMulMul_0x7950617bc96f544a93cba59dd9f0896c_com_vec
:A1_prefill_S8,PushPop,648714,648714,1,28,332128,11861.7,12208.0,10112,12416,544.0,__myl_ResMulMea_0xae152563f1149376365003f94aabf3c4_com_vec
:A1_prefill_S8,PushPop,648714,648714,1,28,315328,11261.7,11232.0,11072,11648,139.3,__myl_ResMulMea_0xa004b8b1aee1c828801c9405f41c9d8a_com_vec
:A1_prefill_S8,PushPop,648714,648714,1,1,30272,30272.0,30272.0,30272,30272,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc_0xeeda8c3ad0b01a41e68bda37288b89cd_com
:A1_prefill_S8,PushPop,648714,648714,1,1,20672,20672.0,20672.0,20672,20672,0.0,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
:A1_prefill_S8,PushPop,648714,648714,1,1,19168,19168.0,19168.0,19168,19168,0.0,__myl_MovMulMeaAddSqrDivMulMul_0x8c7c765d132892c540be4329124deccc_com_vec
:A1_prefill_S8,PushPop,648714,648714,1,1,16672,16672.0,16672.0,16672,16672,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f_com
:A1_prefill_S8,PushPop,648714,648714,1,1,11744,11744.0,11744.0,11744,11744,0.0,__myl_RepIotIotRepCasAddCasEqlLtOrSel_0xeed00a2999d9a920ce4be4d44852c879_com
:A1_prefill_S8,PushPop,648714,648714,1,1,10112,10112.0,10112.0,10112,10112,0.0,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,4,328,77410720,236008.3,242192.0,101856,311424,56816.7,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,7,7,70801536,10114505.1,10114400.0,10111584,10118560,2188.3,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,252,65044384,258112.6,237024.0,234080,303872,30592.2,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,168,34473632,205200.2,205536.0,161952,259776,37451.2,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize128x64x64_stage3_warpsize2x2x1_tensor16x8x16_fused
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,4,112,28510464,254557.7,256544.0,171712,264640,11614.1,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,4,112,25437376,227119.4,228640.0,141056,230848,11606.2,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,4,112,5594656,49952.3,50048.0,44800,51264,828.2,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,4,112,3472544,31004.9,30816.0,28288,33280,535.6,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,81,2766848,34158.6,34016.0,29088,37120,1553.0,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,84,2471040,29417.1,29360.0,26080,31904,1121.8,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
TensorRT:ExecutionContext::enqueue,PushPop,648714,648714,3,84,1843488,21946.3,21760.0,21280,23168,500.2,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
